ticker,asof_date,asof_price,today_date,today_price,return_pct
AAPL,2025-04-27,208.37,2026-04-27,267.61,28.43
MSFT,2025-04-27,388.87,2026-04-27,424.82,9.24
GOOGL,2025-04-27,161.4,2026-04-27,350.34,117.06
NVDA,2025-04-27,110.98,2026-04-27,216.61,95.17
JNJ,2025-04-27,150.39,2026-04-27,225.34,49.84
UNH,2025-04-27,407.16,2026-04-27,354.69,-12.89
PFE,2025-04-27,21.37,2026-04-27,26.79,25.37
JPM,2025-04-27,238.9,2026-04-27,311.63,30.44
GS,2025-04-27,533.8,2026-04-27,937.81,75.69
V,2025-04-27,332.68,2026-04-27,309.65,-6.92
XOM,2025-04-27,104.96,2026-04-27,148.19,41.18
CVX,2025-04-27,132.76,2026-04-27,184.78,39.19
PG,2025-04-27,156.52,2026-04-27,148.4,-5.19
KO,2025-04-27,69.88,2026-04-27,75.44,7.95
AMZN,2025-04-27,188.99,2026-04-27,261.12,38.17
CAT,2025-04-27,303.17,2026-04-27,828.79,173.38
HON,2025-04-27,183.77,2026-04-27,212.05,15.39
BA,2025-04-27,177.95,2026-04-27,231.33,30.0
LLY,2025-04-27,878.04,2026-04-27,868.27,-1.11
MMM,2025-04-27,134.84,2026-04-27,145.77,8.11
