ticker,current_price,return_1m,return_3m,return_6m,return_12m,volatility,beta,sma_20,sma_50,sma_200,price_vs_sma50,ma_signal
AAPL,208.37,-6.51,-8.85,-9.11,24.4,32.37,1.25,200.68,218.02,226.32,-4.43,strong_bearish
MSFT,388.87,0.33,-9.65,-7.34,-3.48,24.86,0.99,372.97,384.23,411.07,1.21,bullish
GOOGL,161.4,-0.17,-15.47,-0.27,2.27,31.67,1.1,153.22,163.56,171.38,-1.32,strong_bearish
NVDA,110.98,-0.38,-6.25,-20.44,39.37,60.16,2.18,105.29,115.21,125.52,-3.67,strong_bearish
JNJ,150.39,-5.24,1.91,-5.3,7.41,19.17,-0.02,150.9,155.43,151.02,-3.24,bearish
UNH,407.16,-18.82,-22.65,-25.25,-12.72,39.2,0.23,502.57,488.05,529.36,-16.57,strong_bearish
PFE,21.37,-8.36,-14.67,-18.02,-7.28,24.23,0.38,21.39,23.11,24.75,-7.53,strong_bearish
JPM,238.9,-1.24,-7.82,10.25,29.06,28.42,0.95,228.62,238.26,226.3,0.27,strong_bullish
GS,533.8,-2.52,-13.54,6.39,31.64,33.58,1.36,503.23,546.82,532.44,-2.38,bearish
V,332.68,-4.2,0.36,18.54,22.78,21.89,0.73,329.45,337.86,303.04,-1.53,bearish
XOM,104.96,-7.91,-0.57,-8.17,-7.28,23.94,0.52,104.39,106.38,108.73,-1.33,strong_bearish
CVX,132.76,-16.75,-10.79,-5.83,-11.52,25.28,0.69,138.28,146.07,143.09,-9.11,bearish
PG,156.52,-3.96,-4.5,-3.87,1.45,18.88,0.11,160.63,162.71,162.28,-3.81,bearish
KO,69.88,1.65,13.42,7.32,20.33,16.41,0.08,69.52,68.52,64.73,1.99,strong_bullish
AMZN,188.99,-6.14,-19.72,2.32,7.02,33.8,1.36,181.45,196.55,199.22,-3.85,strong_bearish
CAT,303.17,-9.25,-22.04,-19.88,-14.33,31.34,1.14,296.56,320.46,351.52,-5.4,strong_bearish
HON,183.77,-7.01,-11.29,-8.68,4.41,23.59,0.75,184.05,189.86,194.71,-3.21,strong_bearish
BA,177.95,-0.65,1.59,13.3,8.29,40.27,1.21,160.06,166.7,165.75,6.75,strong_bullish
LLY,878.04,7.65,9.64,-1.74,21.59,35.92,0.75,782.3,826.78,837.3,6.2,bullish
MMM,134.84,-7.49,-8.92,8.46,52.63,34.28,0.97,133.7,141.53,131.04,-4.73,bearish
