run_id,condition_id,condition_name,model,model_label,temperature,timestamp,attempts,parse_success,AAPL,MSFT,GOOGL,JNJ,UNH,PFE,JPM,GS,XOM,CVX,PG,KO,CAT,HON,AMZN,NVDA,V,LLY,BA,MMM
claude_control_009_20260427T230440602186,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:04:43.382705,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,6.030151,6.532663,2.01005,2.01005
claude_technical_024_20260427T230445388090,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:05:00.554536,1,True,4.297225,7.530091,3.222919,5.381478,2.148612,2.685765,9.678703,5.381478,3.222919,3.222919,5.381478,9.678703,2.685765,3.222919,3.222919,2.148612,6.455784,8.604397,7.530091,4.297225
claude_combined_005_20260427T230502561065,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:05:05.568626,1,True,5.670103,8.762887,7.216495,3.608247,2.57732,2.061856,8.762887,4.639175,3.092784,2.57732,4.123711,6.701031,2.57732,3.092784,6.185567,7.731959,6.701031,8.247423,3.608247,2.061856
claude_combined_024_20260427T230507575570,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:05:10.817799,1,True,5.699482,8.80829,7.253886,3.626943,3.108808,2.590674,8.290155,4.663212,3.626943,2.590674,4.145078,5.699482,2.590674,3.108808,6.217617,7.772021,6.217617,8.290155,3.626943,2.072539
claude_combined_002_20260427T230512824791,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:05:29.119941,1,True,3.940394,11.821182,8.870887,2.460246,1.970197,1.970197,9.850985,5.910591,2.460246,1.970197,2.460246,6.90069,1.970197,1.970197,7.880788,8.870887,5.910591,9.850985,1.480148,1.480148
claude_fundamental_000_20260427T230531126816,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:05:42.228974,1,True,6.451936,11.063319,10.143043,1.840552,1.840552,3.691107,5.531659,4.611383,2.760828,2.30069,2.30069,1.840552,1.840552,1.840552,9.222767,18.435531,4.611383,7.372212,0.920276,1.380414
claude_combined_003_20260427T230544235405,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:05:58.408608,1,True,3.0,12.0,9.0,2.0,2.0,4.0,9.0,6.0,2.0,2.0,2.5,7.0,2.0,2.0,7.0,10.0,6.0,8.0,2.5,2.0
claude_technical_027_20260427T230600410714,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:06:15.304979,1,True,4.214901,7.371129,3.156228,5.263679,2.10745,2.10745,9.468685,5.263679,3.156228,4.214901,5.263679,9.468685,3.156228,3.156228,3.156228,3.156228,6.312457,8.419907,7.371129,4.214901
claude_combined_006_20260427T230617312142,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:06:20.426874,1,True,5.729167,8.854167,7.291667,3.645833,2.604167,2.083333,8.854167,4.166667,3.125,2.604167,4.166667,6.25,2.604167,3.125,6.25,7.8125,6.770833,8.333333,3.645833,2.083333
claude_combined_019_20260427T230622433741,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:06:25.749725,1,True,5.555556,9.090909,7.575758,3.535354,3.030303,2.525253,8.585859,4.545455,3.535354,2.525253,4.040404,5.555556,2.525253,3.030303,6.060606,8.080808,6.060606,8.080808,3.535354,2.525253
claude_fundamental_017_20260427T230627756552,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:06:39.880355,1,True,6.956522,17.391304,12.173913,2.173913,2.173913,3.478261,3.913043,3.478261,2.173913,1.304348,2.173913,1.73913,1.304348,1.73913,10.434783,17.391304,3.478261,4.782609,0.434783,1.304348
claude_technical_019_20260427T230641883869,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:06:56.059431,1,True,2.86,8.57,2.86,4.76,1.9,2.38,11.43,4.76,2.86,2.86,4.29,13.33,1.9,2.86,2.86,1.9,5.71,10.48,7.62,3.81
