run_id,condition_id,condition_name,model,model_label,realized_return_pct
claude_control_009_20260427T230440602186,0,control,claude-sonnet-4-6,claude,38.940503674300004
claude_technical_024_20260427T230445388090,2,technical,claude-sonnet-4-6,claude,29.369529659999998
claude_combined_005_20260427T230502561065,3,combined,claude-sonnet-4-6,claude,36.9982486547
claude_combined_024_20260427T230507575570,3,combined,claude-sonnet-4-6,claude,37.2637315206
claude_combined_002_20260427T230512824791,3,combined,claude-sonnet-4-6,claude,38.9627788883
claude_fundamental_000_20260427T230531126816,1,fundamental,claude-sonnet-4-6,claude,48.113090418400006
claude_combined_003_20260427T230544235405,3,combined,claude-sonnet-4-6,claude,39.93855
claude_technical_027_20260427T230600410714,2,technical,claude-sonnet-4-6,claude,30.947382992899996
claude_combined_006_20260427T230617312142,3,combined,claude-sonnet-4-6,claude,36.9480220002
claude_combined_019_20260427T230622433741,3,combined,claude-sonnet-4-6,claude,37.63596235280001
claude_fundamental_017_20260427T230627756552,1,fundamental,claude-sonnet-4-6,claude,47.782652325200004
claude_technical_019_20260427T230641883869,2,technical,claude-sonnet-4-6,claude,26.619760999999997
claude_technical_028_20260427T230658061554,2,technical,claude-sonnet-4-6,claude,24.415418186700002
claude_fundamental_002_20260427T230713813617,1,fundamental,claude-sonnet-4-6,claude,48.858017000000004
claude_control_016_20260427T230729502115,0,control,claude-sonnet-4-6,claude,39.01705
claude_technical_002_20260427T230734212121,2,technical,claude-sonnet-4-6,claude,30.5584234913
claude_technical_022_20260427T230749166988,2,technical,claude-sonnet-4-6,claude,24.5260213889
claude_combined_007_20260427T230807799925,3,combined,claude-sonnet-4-6,claude,39.2517494086
claude_fundamental_021_20260427T230826910416,1,fundamental,claude-sonnet-4-6,claude,50.1431218108
claude_technical_008_20260427T230845074799,2,technical,claude-sonnet-4-6,claude,24.886871064000008
claude_control_008_20260427T230901140659,0,control,claude-sonnet-4-6,claude,38.941900000000004
claude_technical_001_20260427T230905966124,2,technical,claude-sonnet-4-6,claude,27.136098061000002
