run_id,condition_id,condition_name,Consumer Goods,Energy,Financials,Healthcare,Industrials,Technology
control_009_20260416T004818084638,0,control,0.14572864000000002,0.06532663,0.14572864,0.19095478,0.10552764,0.34673366
technical_024_20260416T004823064195,2,technical,0.14288571,0.16748325,0.15758424000000001,0.21667832999999997,0.15768423,0.15768423
combined_005_20260416T004839071067,3,combined,0.14761034,0.10000962,0.14280219,0.1857871,0.11433792,0.30945283
combined_024_20260416T004854786398,3,combined,0.1298077,0.12980769,0.15384615,0.1875,0.12019231,0.27884614999999996
combined_002_20260416T004900115971,3,combined,0.1372549,0.13235294,0.15686274,0.19117648,0.11764705,0.26470588
fundamental_000_20260416T004905238104,1,fundamental,0.06458062,0.03478956,0.08957312,0.13945816,0.04488653,0.62671199
combined_003_20260416T004919675692,3,combined,0.13461539,0.13942307999999998,0.15865384,0.1875,0.12499999999999999,0.25480769000000003
technical_027_20260416T004924482027,2,technical,0.13990049999999998,0.16577113999999998,0.15542289,0.21243781,0.16059701999999998,0.16587064999999998
combined_006_20260416T004941488806,3,combined,0.13270142000000001,0.12796209,0.15639809999999998,0.18957347,0.12796209,0.26540284
combined_019_20260416T004946608578,3,combined,0.13397129,0.12918659999999998,0.15789474,0.18660285999999998,0.12918661,0.2631579
fundamental_017_20260416T004951526691,1,fundamental,0.11428572000000001,0.05238095,0.14285714,0.15238095000000001,0.06666666,0.47142856
technical_019_20260416T005003810608,2,technical,0.1429,0.16249999999999998,0.1527,0.2117,0.15769999999999998,0.1725
technical_028_20260416T005020203390,2,technical,0.14794548,0.1785892,0.14287136,0.22445527999999998,0.14287135,0.16326734
fundamental_002_20260416T005037322001,1,fundamental,0.10687631,0.04856205000000001,0.12618171,0.15533883,0.05821475000000001,0.5048263500000001
control_016_20260416T005051873856,0,control,0.14851486,0.07425743,0.14356437,0.18811882000000002,0.1138614,0.33168317
technical_002_20260416T005057179083,2,technical,0.14135759,0.16665001000000002,0.15155454,0.22223333,0.15655303,0.1616515
technical_022_20260416T005114264675,2,technical,0.10628937,0.19328067000000002,0.13528647,0.17868213,0.22707729,0.15938406
combined_007_20260416T005131624660,3,combined,0.13270142000000001,0.12796209,0.15639809999999998,0.18957347,0.12796209,0.26540284
fundamental_021_20260416T005137082272,1,fundamental,0.09,0.035,0.11,0.14,0.025,0.6000000000000001
technical_008_20260416T005150510621,2,technical,0.10796021,0.1960199,0.1519403,0.18139303999999998,0.22547264,0.13721392999999998
control_008_20260416T005207814940,0,control,0.14705883,0.07352942,0.14215687,0.18627451,0.11764706,0.33333333
technical_001_20260416T005212641851,2,technical,0.14285714,0.16748768,0.15763545999999998,0.21674876999999998,0.16256157999999998,0.15270936000000002
combined_008_20260416T005229423420,3,combined,0.1298077,0.12980769,0.15384615,0.1826923,0.12499999999999999,0.27884614999999996
combined_018_20260416T005234235663,3,combined,0.13300492,0.14285714,0.15763547,0.18719213,0.12807882,0.25123152
control_007_20260416T005239360015,0,control,0.14851486,0.07425743,0.14356437,0.18316833,0.11881189,0.33168317
control_001_20260416T005244235819,0,control,0.14851486,0.06435644,0.14356437,0.18811882000000002,0.1138614,0.34158416
technical_018_20260416T005248895001,2,technical,0.11602871000000001,0.19796651,0.16726476,0.19108852,0.18431021,0.14334131
technical_010_20260416T005305147872,2,technical,0.14427114000000002,0.15916816,0.15916816,0.2189562,0.15426914,0.16416716
control_026_20260416T005322464660,0,control,0.14778326,0.07389163,0.14778325,0.18719212000000002,0.1133005,0.33004926
