outcome,treatment,n_treat,n_ctrl,diff_trimmed,p_value
hhi,fundamental,28,28,0.0365135656950894,1.242489803918969e-25
hhi,technical,28,28,0.01119294643062653,2.20148803106207e-07
hhi,combined,28,28,0.007595591899805423,2.2653494729508897e-07
sector_hhi,fundamental,28,28,0.09567455499025626,8.841213313704176e-21
sector_hhi,technical,28,28,-0.016630267022112732,4.2924544672308744e-20
sector_hhi,combined,28,28,0.00942670804716933,0.0017806492543396809
portfolio_beta,fundamental,28,28,0.23206544116071426,2.2863192320556865e-41
portfolio_beta,technical,28,28,-0.13999151214285732,3.8202533845701544e-27
portfolio_beta,combined,28,28,0.025956712385714287,0.00026490060535459126
portfolio_vol,fundamental,28,28,3.863452791696428,1.4873597118470084e-33
portfolio_vol,technical,28,28,-2.470545049767857,1.1243676205315715e-25
portfolio_vol,combined,28,28,0.0291533376142894,0.7862629011383696
