outcome,treatment,n_treat,n_ctrl,mean_treat,mean_ctrl,diff_in_means,ci95_low,ci95_high,welch_t,p_value_t,wilcoxon_stat,p_value_wilcox,significant_5pct
hhi,fundamental,30,30,0.10308790111612981,0.059875815338815704,0.043212085777314106,0.03981797422850989,0.04660619732611832,26.012030816430602,5.387116088072164e-22,6.6529914385911555,2.871949066320323e-11,True
hhi,technical,29,30,0.07560213564565983,0.059875815338815704,0.01572632030684413,0.010246099085332753,0.021206541528355504,5.8757773230905395,2.4698473383177496e-06,6.368023566062789,1.9147950286989382e-10,True
hhi,combined,30,30,0.058666337550663784,0.059875815338815704,-0.0012094777881519192,-0.0019048929723380155,-0.0005140626039658229,-3.4962755415350566,0.0010215844201642685,-4.908429239138364,9.180874242698786e-07,True
sector_hhi,fundamental,30,30,0.366412610249206,0.20913901786427594,0.15727359238493008,0.14375657767272584,0.1707906070971343,23.778816801007387,8.412857265867277e-21,6.6529914385911555,2.871949066320323e-11,True
sector_hhi,technical,29,30,0.17299510398356036,0.20913901786427594,-0.036143913880715584,-0.03822373495830695,-0.03406409280312422,-34.870191750461515,8.366957680123392e-38,-6.59545297913646,4.239593934023238e-11,True
sector_hhi,combined,30,30,0.18205790718508508,0.20913901786427594,-0.027081110679190862,-0.02882146401261481,-0.025340757345766914,-31.148213134459688,6.653288706766321e-38,-6.6529914385911555,2.871949066320323e-11,True
portfolio_beta,fundamental,30,30,1.0540544086766668,0.9205437644833332,0.13351064419333358,0.12446339175707084,0.1425578966295963,29.98512222451697,4.0795748508561276e-26,6.6529914385911555,2.871949066320323e-11,True
portfolio_beta,technical,29,30,0.7826622822034481,0.9205437644833332,-0.13788148227988506,-0.1477651214465823,-0.12799784311318782,-28.41127477685365,2.4133536578681087e-24,-6.59545297913646,4.239593934023238e-11,True
portfolio_beta,combined,30,30,0.8501566203633335,0.9205437644833332,-0.07038714411999969,-0.07573491248041439,-0.06503937575958499,-26.50994262370509,4.2941864353742e-29,-6.6529914385911555,2.871949066320323e-11,True
portfolio_vol,fundamental,30,30,30.28693921628666,29.882241679459995,0.4046975368266672,0.3174402991665384,0.49195477448679603,9.358293069569328,7.407488564360433e-12,6.046829996408406,1.477234870580106e-09,True
portfolio_vol,technical,29,30,27.69550383932414,29.882241679459995,-2.186737840135855,-2.310377369559635,-2.0630983107120753,-35.94135037610388,1.161873386408941e-28,-6.59545297913646,4.239593934023238e-11,True
portfolio_vol,combined,30,30,28.450444811976663,29.882241679459995,-1.4317968674833317,-1.5093312819919926,-1.3542624529746707,-37.17047881022074,5.5077973722030296e-36,-6.6529914385911555,2.871949066320323e-11,True
breadth,fundamental,30,30,20.0,20.0,0.0,,,,,0.0,1.0,False
breadth,technical,29,30,20.0,20.0,0.0,,,,,0.0,1.0,False
breadth,combined,30,30,20.0,20.0,0.0,,,,,0.0,1.0,False
